iter	MultiClass
0	1.047035261
1	1.007440882
2	0.9526533105
3	0.9084305538
4	0.8623361003
5	0.8225444868
6	0.7955941483
7	0.768024226
8	0.7386499551
9	0.7158359469
10	0.684224559
11	0.652988575
12	0.6274014956
13	0.6155968727
14	0.5902042942
15	0.5719436073
16	0.5539472113
17	0.5326538178
18	0.5179605445
19	0.500064991
20	0.483748708
21	0.4684015737
22	0.4551408333
23	0.4435750997
24	0.4280087235
25	0.4106148592
26	0.3961222878
27	0.3824221168
28	0.3741670394
29	0.3653188051
30	0.3533328268
31	0.3429879814
32	0.3349734469
33	0.3263525299
34	0.3179962389
35	0.3035295583
36	0.2958046674
37	0.2887207811
38	0.2808959862
39	0.2721114948
40	0.2660136941
41	0.2585898637
42	0.2534304419
43	0.2452543999
44	0.2386201739
45	0.2324340054
46	0.2273661945
47	0.2223524287
48	0.2178799156
49	0.2122231049
